Gmt time,Open,High,Low,Close,Volume
2021-05-11 12:45:00+05:30,967.73,969.0,965.85,968.93,390754
2021-05-11 13:00:00+05:30,968.98,969.0,967.5,967.5,242892
2021-05-11 13:15:00+05:30,967.5,967.53,965.03,965.75,531470
2021-05-11 13:30:00+05:30,965.9,966.9,963.63,965.38,413026
2021-05-11 13:45:00+05:30,965.33,965.8,964.03,964.98,303194
2021-05-11 14:00:00+05:30,964.98,965.48,964.13,964.38,225900
2021-05-11 14:15:00+05:30,964.35,965.4,964.35,965.38,227698
2021-05-11 14:30:00+05:30,965.35,965.38,963.25,963.5,369852
2021-05-11 14:45:00+05:30,963.53,964.75,962.58,962.98,440488
2021-05-11 15:00:00+05:30,962.95,967.45,962.95,966.93,967232
2021-05-11 15:15:00+05:30,966.95,967.65,966.28,966.58,990116
2021-05-12 09:15:00+05:30,965.05,966.45,960.0,960.1,1325442
2021-05-12 09:30:00+05:30,960.0,960.3,954.55,957.78,1461322
2021-05-12 09:45:00+05:30,957.73,957.85,955.75,956.33,528304
2021-05-12 10:00:00+05:30,956.18,958.0,956.0,956.9,387390
2021-05-12 10:15:00+05:30,956.88,957.15,953.5,954.5,775048
2021-05-12 10:30:00+05:30,954.53,958.48,954.28,957.23,447558
2021-05-12 10:45:00+05:30,957.25,958.0,956.5,957.93,249516
2021-05-12 11:00:00+05:30,957.98,957.98,955.5,956.38,267612
2021-05-12 11:15:00+05:30,956.35,959.0,956.25,958.5,437164
2021-05-12 11:30:00+05:30,958.53,959.88,957.75,959.1,357052
2021-05-12 11:45:00+05:30,959.0,959.8,957.28,958.93,333846
2021-05-12 12:00:00+05:30,958.93,961.38,958.53,960.15,534232
2021-05-12 12:15:00+05:30,960.15,960.93,959.35,959.55,230234
2021-05-12 12:30:00+05:30,959.58,960.0,958.53,959.28,233566
2021-05-12 12:45:00+05:30,959.25,959.88,958.63,959.2,149746
2021-05-12 13:00:00+05:30,959.13,960.73,958.63,960.38,236944
2021-05-12 13:15:00+05:30,960.38,960.85,958.05,958.08,228918
2021-05-12 13:30:00+05:30,958.25,959.1,956.13,957.33,358022
2021-05-12 13:45:00+05:30,957.33,958.75,957.0,957.88,231918
2021-05-12 14:00:00+05:30,957.95,958.48,956.05,956.58,264808
2021-05-12 14:15:00+05:30,956.58,957.28,955.2,955.83,459028
2021-05-12 14:30:00+05:30,955.83,956.55,955.03,955.75,371064
2021-05-12 14:45:00+05:30,955.75,956.25,953.63,953.75,612226
2021-05-12 15:00:00+05:30,953.8,957.25,953.8,957.15,762196
2021-05-12 15:15:00+05:30,957.05,957.8,955.6,956.58,912194
2021-05-14 09:15:00+05:30,964.03,964.45,955.75,956.1,1460916
2021-05-14 09:30:00+05:30,956.23,957.13,953.0,956.43,725250
2021-05-14 09:45:00+05:30,956.13,957.03,955.2,956.5,359168
2021-05-14 10:00:00+05:30,956.5,957.48,956.0,956.05,327306
2021-05-14 10:15:00+05:30,955.98,957.2,954.0,956.08,342258
2021-05-14 10:30:00+05:30,956.05,958.5,956.05,958.35,345528
2021-05-14 10:45:00+05:30,958.38,959.85,957.9,959.53,420608
2021-05-14 11:00:00+05:30,959.53,960.28,957.3,959.5,408248
2021-05-14 11:15:00+05:30,959.4,962.48,959.0,962.33,450124
2021-05-14 11:30:00+05:30,962.45,962.5,959.1,960.03,279986
2021-05-14 11:45:00+05:30,959.98,961.9,958.58,960.45,347456
2021-05-14 12:00:00+05:30,960.48,961.98,959.15,961.98,317708
2021-05-14 12:15:00+05:30,962.08,965.5,961.8,964.45,849318
2021-05-14 12:30:00+05:30,964.5,966.0,964.0,964.83,549810
2021-05-14 12:45:00+05:30,964.5,965.48,962.75,965.13,396518
2021-05-14 13:00:00+05:30,965.18,967.5,963.53,965.35,530996
2021-05-14 13:15:00+05:30,965.73,965.98,963.55,965.8,286128
2021-05-14 13:30:00+05:30,965.88,966.5,965.0,965.5,212798
2021-05-14 13:45:00+05:30,965.68,966.13,962.05,962.25,338528
2021-05-14 14:00:00+05:30,961.9,965.5,961.15,964.88,384842
2021-05-14 14:15:00+05:30,965.0,965.98,964.5,965.5,225320
2021-05-14 14:30:00+05:30,965.53,969.8,965.25,967.0,668400
2021-05-14 14:45:00+05:30,967.0,969.88,966.1,967.78,516142
2021-05-14 15:00:00+05:30,967.73,968.0,966.38,967.2,506120
2021-05-14 15:15:00+05:30,967.2,971.0,966.88,968.65,1014438
2021-05-17 09:15:00+05:30,968.65,973.75,965.2,967.5,1237116
2021-05-17 09:30:00+05:30,967.68,969.15,966.0,967.33,397422
2021-05-17 09:45:00+05:30,967.38,972.45,967.3,972.35,648790
2021-05-17 10:00:00+05:30,972.48,972.5,969.1,970.65,295070
2021-05-17 10:15:00+05:30,971.0,972.0,967.73,969.3,337776
